溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,三疊溪,3,#N/A,,,嘉義縣,,"溪口鄉,大林鎮,民雄鄉,梅山鄉",,北港溪,,,主流,,
,,,三疊溪,3,,,,嘉義縣,,"大林鎮,民雄鄉,溪口鄉,梅山鄉",,,,,支流,,
,,,三灣圳,1,,,,苗栗縣,,三灣鄉,,,,,支流,,
,,,上大埤頭,1,,,,桃園市,,觀音區,,,,,主流,,
,,,上中福支線,1,,,,桃園市,,蘆竹區桃園區,,,,埔心溪排水幹線,,直轄市管區域排水,
,,,上內立坑溪幹線,1,,,,新竹縣,,新埔鎮,,,,鳳山溪,,縣(市)管區域排水,
,,,上水圳,1,,,,宜蘭縣,,員山鄉,,,,,支流,,
,,,上四座屋圳,1,,,,新竹縣,,新埔鎮,,,,,支流,,
,,,上吳屋坑幹線,1,,,,新竹縣,,新埔鎮,,,,霄裡溪,,縣(市)管區域排水,
,,,上坑,2,,,,臺中市,,石岡區,,,,,主流,,
,,,上坑,2,,,,臺中市,,"新社區,石岡區",,,,,支流,,
,,,上坑支線,2,,上坑排水,,新竹縣,,新豐鄉,,,,新豐溪,主流,,
,,,上坑支線,2,,上坑排水,,新竹縣,,新豐鄉,,,,新豐溪,支流,,
,,,上坑排水,1,,上坑支線,,新竹縣,,新豐鄉,,,,新豐溪,,縣(市)管區域排水,
,,,上坪圳,1,,,,苗栗縣,,大湖鄉,,,,,支流,,
,,,上坪溪,2,Q10867286,,,新竹縣,,"竹東鎮,五峰鄉,橫山鄉",,頭前溪,,,主流,,
,,,上坪溪,2,,,,新竹縣,,"竹東鎮,五峰鄉,橫山鄉",,,,,支流,,
,,,上坪攔河堰導水路,1,,,,新竹縣,,竹東鎮,,,,,支流,,
,,,上林圳,1,,,,南投縣,,魚池鄉,,,,,支流,,
,,,上茄苳埤,1,,,,臺南市,,"白河區,後壁區",,,,,主流,,
,,,上崙排水,1,,,,臺南市,,仁德區,,,,三爺溪排水,,直轄市管區域排水,
,,,上寮排水,1,,,,高雄市,,大寮區,,,,林園排水,,直轄市管區域排水,
